Treatment,Temperature,Genotype,Repetition,11,18,26,32,40,47,54,Root weight,Fresh  weight ,Dry weight
PRI,T1,ROBILA,2,0,2,4,4,5,6,7,38.42,22.87,7.11
PRI,T1,DEEP,2,1,3,3,4,4,5,6,102.54,45,10.97
PRI,T1,OXHELLA,2,2,3,3,4,4,4,6,110.04,43.22,9.73
PRI,T1,PRESTO,2,1,2,3,3,4,5,6,77.38,18.76,6.11
PRI,T2,NEVA,2,0,2,3,3,4,5,6,104.7,28.09,7.49
PRI,T2,NANT,2,0,1,3,3,4,5,6,50.98,20.02,5.67
PRI,T2,ROBILA,2,0,1,4,4,4,5,6,49.88,27.31,7.75
PRI,T2,DEEP,2,2,3,4,4,5,4,6,70.34,33.43,8.61
PRI,T2,OXHELLA,2,0,1,2,3,4,4,6,110.76,30.79,7.54
PRI,T2,PRESTO,2,1,3,4,4,4,5,6,108.17,22.08,5.14
PRI,T3,NEVA,2,0,1,1,2,3,3,4,72.8,17.3,4.40
PRI,T3,NANT,2,0,1,2,2,3,3,5,54.27,21.18,6.13
PRI,T3,ROBILA,2,1,1,1,3,4,4,5,61.03,23.96,6.85
PRI,T3,DEEP,2,2,3,3,3,4,5,5,72.6,21.08,8.25
PRI,T3,OXHELLA,2,0,0,2,2,4,4,5,73.21,27.32,6.88
PRI,T3,PRESTO,2,3,3,4,5,6,6,7,91.2,20.48,6.18
Water,T0,NEVA,3,4,4,4,5,6,6,7,55.3,12.56,4.97
Water,T0,NANT,3,3,3,5,6,6,6,7,29.15,11.2,4.52
Water,T0,ROBILA,3,3,4,5,5,6,6,6,48.35,20.01,6.6
Water,T0,DEEP,3,4,5,5,5,5,6,6,113.89,42.92,10.98
Water,T0,OXHELLA,3,3,4,5,5,6,6,6,75.86,22.75,6.63
Water,T0,PRESTO,3,3,4,5,5,6,6,6,87.77,19.3,5.75
Water,T1,NEVA,3,2,4,5,5,6,7,8,65.24,13.88,5.05
Water,T1,NANT,3,2,3,5,5,6,7,8,19.52,10.99,4.42
Water,T1,ROBILA,3,2,3,5,5,6,6,7,38.6,17.97,6.45
Water,T1,DEEP,3,2,3,4,4,5,7,8,70.45,31.05,7.8
Water,T1,OXHELLA,3,3,4,5,5,6,7,7,66.88,25.55,7.09
Water,T1,PRESTO,3,4,5,6,6,6,7,8,75.35,15.37,5.25
Water,T2,NEVA,3,2,3,4,5,5,5,6,95.31,19.28,6.08
Water,T2,NANT,3,1,3,4,5,5,5,5,40.09,18.38,5.41
Water,T2,ROBILA,3,2,3,3,4,5,5,6,28.98,16.34,5.56
Water,T2,DEEP,3,2,3,4,4,5,5,6,64.1,28.31,7.58
Water,T2,OXHELLA,3,1,3,3,3,3,4,5,68.25,20.01,5.9
Water,T2,PRESTO,3,3,4,5,6,6,6,6,92.32,23.12,6.62
Water,T3,NEVA,3,2,3,4,5,5,5,6,86.84,20.21,6.17
Water,T3,NANT,3,1,1,3,4,4,4,7,32.65,16.23,5.17
Water,T3,ROBILA,3,1,3,3,4,4,4,6,49.87,21.58,6.85
Water,T3,DEEP,3,2,5,5,5,5,5,7,107.01,55.05,14.5
Water,T3,OXHELLA,3,2,3,4,4,5,4,6,52.25,34.03,8.18
Water,T3,PRESTO,3,1,3,4,4,5,5,7,60.01,14.96,5.22
PRI,T0,NEVA,3,3,3,3,4,5,5,6,88.48,11.48,6.19
PRI,T0,NANT,3,2,3,3,4,4,4,5,36.91,16.25,5.22
PRI,T0,ROBILA,3,3,3,3,4,4,5,5,32.37,13.23,5.27
PRI,T0,DEEP,3,3,3,3,4,4,5,6,65.76,34.02,8.43
PRI,T0,OXHELLA,3,3,3,4,5,5,5,6,115.38,31.42,7.88
PRI,T0,PRESTO,3,3,4,4,4,5,6,7,72.18,16.9,5.73
PRI,T1,NEVA,3,1,2,3,3,4,4,5,61.85,13.85,4.80
