Sample;Genotype;Temperature;Treatment;Environment;Replicat;Block;Sampling_time
0387;PRESTO;T0;SDP;S1;B1;R3;P3
0388;PRESTO;T0;SDP;S1;B2;R4;P3
0389;PRESTO;T0;EAU;S1;B1;R1;P3
0390;PRESTO;T0;EAU;S1;B2;R2;P3
0391;PRESTO;T0;EAU;S1;B1;R3;P3
0392;PRESTO;T0;EAU;S1;B2;R4;P3
0393;PRESTO;T1;SDP;S2;B1;R1;P3
0394;PRESTO;T1;SDP;S2;B1;R2;P3
0395;PRESTO;T1;SDP;S2;B2;R3;P3
0396;PRESTO;T1;SDP;S2;B2;R4;P3
0397;PRESTO;T1;EAU;S2;B1;R1;P3
0398;PRESTO;T1;EAU;S2;B1;R2;P3
0399;PRESTO;T1;EAU;S2;B2;R3;P3
0400;PRESTO;T1;EAU;S2;B2;R4;P3
0401;PRESTO;T2;SDP;S2;B1;R1;P3
0402;PRESTO;T2;SDP;S2;B1;R2;P3
0403;PRESTO;T2;SDP;S2;B2;R3;P3
0404;PRESTO;T2;SDP;S2;B2;R4;P3
0405;PRESTO;T2;EAU;S2;B1;R1;P3
0406;PRESTO;T2;EAU;S2;B1;R2;P3
0407;PRESTO;T2;EAU;S2;B2;R3;P3
0408;PRESTO;T2;EAU;S2;B2;R4;P3
